_id,,,,,,ENG110,ENG105,ENG106,MAT111,MAT121,MAT225,MAT224,MAT221,BLL101,PHY110,PHY110L,CHE101,SOC101,ECN200,BDS102,MGT301,ACN201,LFE201,EEE110,EEE110L,EEE210,EEE210L,CSE101,CSE115,CSE115L,CSE225,CSE225L,CSE213,CSE213L,CSE311,CSE311L,CSE329,CSE329L,CSE317,CSE111,CSE205,CSE205L,CSE305,CSE305L,CSE341,CSE341L,CSE331,CSE331L,CSE330,CSE330L,CSE340,CSE340L,CSE413,CSE413L,CSE445,CSE445L,CSE435,CSE435L,CSE321,CSE471,CSE498,CSE406,CSE425,CSE452,CSE421,EEE415,If you completed any other optional course except the above [add the course code and title]
21102001,,,,,,21102001,21102001,,21102001,21102001,21102001,,,,21102001,21102001,,,,,,,,21102001,21102001,,,21102001,21102001,21102001,21102001,,,,,,,,,21102001,21102001,21102001,21102001,21102001,,,21102001,21102001,,,,,,,,,,,21102001,,,,,,,,
20302003,,,,,,20302003,,,20302003,20302003,20302003,20302003,20302003,,20302003,20302003,20302003,,,,,,,20302003,20302003,20302003,20302003,20302003,20302003,20302003,20302003,20302003,20302003,20302003,20302003,20302003,,,,20302003,20302003,20302003,20302003,20302003,,,,,,,,,,,,,,,,,,,,,,,No
20302001,,,,,,20302001,,,20302001,20302001,20302001,20302001,20302001,20302001,20302001,20302001,20302001,,,,,,,20302001,20302001,20302001,20302001,20302001,20302001,20302001,20302001,20302001,20302001,20302001,20302001,20302001,,,,20302001,20302001,20302001,20302001,20302001,,,,,,,,,,,,,,,,,,,,,,,
20202047,,,,,,20202047,,20202047,20202047,20202047,20202047,20202047,20202047,,20202047,20202047,20202047,,,,,20202047,,20202047,20202047,20202047,20202047,20202047,20202047,20202047,20202047,20202047,20202047,20202047,20202047,20202047,,,,20202047,20202047,20202047,20202047,20202047,20202047,20202047,20202047,20202047,,,,,,,,,,,,,,,,,,,
20202046,,,,,,20202046,20202046,,20202046,20202046,,20202046,20202046,20202046,20202046,20202046,20202046,,,,,,,20202046,20202046,20202046,20202046,20202046,20202046,20202046,20202046,20202046,20202046,20202046,,,,,,20202046,20202046,20202046,20202046,20202046,,,20202046,20202046,,,,,,,,,,,,,,,,,,,
20202045,,,,,,20202045,,,20202045,20202045,,20202045,20202045,20202045,20202045,20202045,20202045,,,,,,,20202045,20202045,20202045,20202045,20202045,20202045,20202045,20202045,20202045,20202045,20202045,20202045,20202045,,,,20202045,20202045,20202045,20202045,20202045,20202045,20202045,,,,,,,,,,,,,,,,,,,,,
20202044,,,,,,20202044,20202044,,20202044,20202044,20202044,20202044,20202044,,20202044,20202044,20202044,,,,,20202044,,20202044,20202044,20202044,20202044,20202044,20202044,20202044,20202044,20202044,20202044,20202044,20202044,20202044,,,,20202044,20202044,20202044,20202044,20202044,20202044,20202044,20202044,20202044,,,,,,,,,,,,,,,,,,,
20202043,,,,,,20202043,20202043,,20202043,20202043,20202043,20202043,20202043,20202043,20202043,20202043,20202043,,20202043,,,,,20202043,20202043,20202043,20202043,20202043,20202043,20202043,20202043,20202043,,20202043,,,,,,20202043,20202043,20202043,20202043,20202043,,,,,,,,,,,,,,,,,,,,,,,
20202034,,,,,,20202034,,20202034,20202034,20202034,20202034,20202034,20202034,,20202034,20202035,20202034,,,,,,,20202034,20202034,20202034,20202034,20202034,20202034,20202034,20202034,20202034,20202034,20202034,20202034,20202034,,,,20202034,20202034,20202034,20202034,20202034,20202034,20202034,20202034,20202034,,,,,,,,,,,,,,,,,,,
20202033,,,,,,20202033,20202033,,20202033,20202033,20202033,20202033,20202033,20202033,20202033,20202033,20202033,,,,,,,20202033,20202033,20202033,20202033,20202033,20202033,20202033,20202033,20202033,20202033,20202033,,,,,,20202033,20202033,20202033,20202033,20202033,20202033,20202033,,,,,,,,,,,,,,,,,,,,,
20202032,,,,,,20202032,20202032,,20202032,20202032,,20202032,20202032,20202032,20202032,20202032,20202032,,,,,,,20202032,20202032,20202032,20202032,20202032,20202032,20202032,20202032,20202032,20202032,20202032,,,,,,20202032,20202032,20202032,2020203,20202032,20202032,20202032,,,,,,,,,,,,,,,,,,,,,
20202031,,,,,,20202031,,,20202031,20202031,,20202031,20202031,,20202031,20202031,,,,20202031,,,,20202031,20202031,20202031,20202031,20202031,20202031,20202031,,,,,,,,,,20202031,20202031,20202031,,,,,,,,,,,,,,,,,,,,,,,,,
20202030,,,,,,20202030,,,20202030,20202030,20202030,20202030,20202030,20202030,20202030,20202030,20202030,,20202030,,,,,20202030,20202030,20202030,20202030,20202030,20202030,20202030,20202030,20202030,20202030,20202030,,,,,,20202030,20202030,20202030,20202030,20202030,20202030,20202030,20202030,20202030,20202030,20202030,,,,,,,,,20202030,,,,,,,,
20202029,,,,,,20202029,,,20202029,20202029,20202029,20202029,20202029,20202029,20202029,20202029,20202029,,,,,,,20202029,20202029,20202029,20202029,20202029,20202029,20202029,20202029,20202029,20202029,20202029,20202029,20202029,,,,20202029,20202029,20202029,20202029,20202029,,,,,,,,,,,,,,,,,,,,,,,
20202028,,,,,,20202028,,,20202028,20202028,,20202028,20202028,20202028,20202028,20202028,20202028,,,,,,,20202028,20202028,,,20202028,20202028,20202028,20202028,20202028,20202028,20202028,,,,,,20202028,,,,,20202028,20202028,,,,,,,,,,,,,,,,,,,,,
20202026,,,,,,20202026,20202026,,20202026,20202026,,,,,20202026,20202026,20202026,,20202026,,,,,20202026,20202026,,,20202026,20202026,20202026,20202026,,,,,,,,,20202026,20202026,20202026,,,,,,,,,,,,,,,,,,,,,,,,,
20202025,,,,,,20202025,20202025,,20202025,20202025,,20202025,20202025,20202025,20202025,20202025,20202025,,,,,,,20202025,20202025,20202025,20202025,20202025,20202025,20202025,20202025,20202025,20202025,20202025,,,,,,20202025,20202025,20202025,20202025,20202025,20202025,20202025,,,,,,,,,,,,,,,,,,,,,
20202024,,,,,,20202024,,,20202024,20202024,20202024,20202024,20202024,20202024,20202024,20202024,20202024,,,,,,,20202024,20202024,20202024,20202024,20202024,20202024,20202024,20202024,20202024,20202024,20202024,20202024,20202024,,,,20202024,20202024,20202024,20202024,20202024,,,,,,,,,,,,,,,,,,,,,,,
20202022,,,,,,20202022,20202022,,20202022,20202022,20202022,20202022,20202022,,20202022,20202022,20202022,,20202022,,,,,20202022,20202022,20202022,20202022,20202022,20202022,20202022,20202022,20202022,20202022,20202022,20202022,20202022,,,,20202022,20202022,20202022,20202022,20202022,,,,,,,,,,,,,,,,,,,,,,,
20202017,,,,,,20202017,,,20202017,20202017,20202017,20202017,20202017,20202017,20202017,20202017,20202017,,,,,,,20202017,20202017,20202017,20202017,20202017,20202017,20202017,20202017,20202017,20202017,20202017,20202017,20202017,,,,20202017,20202017,20202017,20202017,20202017,,,,,,,,,,,,,,,,,,,,,,,
20202016,,,,,,20202016,,20202016,20202016,20202016,20202016,20202016,20202016,20202016,20202016,20202016,20202016,,20202016,,,20202016,20202016,20202016,20202016,20202016,20202016,20202016,20202016,20202016,20202016,20202016,20202016,20202016,20202016,20202016,20202016,20202016,20202016,20202016,20202016,20202016,20202016,20202016,20202016,20202016,20202016,20202016,20202016,20202016,20202016,20202016,20202016,20202016,20202016,20202016,20202016,20202016,20202016,20202016,20202016,20202016,,,,,
20202012,,,,,,20202012,,,20202012,20202012,,20202012,20202012,,20202012,20202012,20202012,,,,,,,20202012,20202012,,,20202012,20202012,20202012,20202012,20202012,,,,,,,,20202012,20202012,20202012,,,,,,,,,,,,,,,,,,,,,,,,,
20202011,,,,,,20202011,20202011,,20202011,20202011,,20202011,,20202011,20202011,20202011,,,,,,,,20202011,20202011,20202011,20202011,20202011,20202011,20202011,20202011,20202011,,,,,,,,20202011,20202011,20202011,20202011,20202011,,,20202011,20202011,,,,,,,,,,,,,,,,,,,
20202003,,,,,,20202003,,,20202003,20202003,20202003,20202003,20202003,20202003,,,20202003,,20202003,,,,,20202003,20202003,20202003,20202003,20202003,20202003,20202003,20202003,20202003,20202003,20202003,20202003,20202003,,,,20202003,20202003,20202003,,,,,20202003,20202003,,,,,,,,,,,,,,,,,,,
20202001,,,,,,20202001,20202001,,20202001,20202001,20202001,20202001,20202001,20202001,20202001,20202001,20202001,,,,,,,20202001,20202001,20202001,20202001,20202001,20202001,20202001,20202001,20202001,20202001,20202001,20202001,20202001,,,,20202001,20202001,20202001,,,,,,,,,,,,,,,,,,,,,,,,,
20102002,,,,,,20102002,,,20102002,,,20102002,,20102002,20102002,20102002,,,,,,,,20102002,20102002,,,20102002,20102002,20102002,20102002,20102002,,,,,,,,,20102002,20102002,,,,,,,,,,,,,,,,,,,,,,,,,
20102001,,,,,,20102001,,,20102001,20102001,20102001,,,,20102001,,,,,,,,,20102001,20102001,,,20102001,20102001,20102001,,,,,,,,,,20102001,20102001,20102001,,,,,,,,,,,,,,,,,,,,,,,,,
